select,engels,italiaans,reflexieve,prefix,infinitief,imperfectum singularis,imperfectum pluralis,participium,auxiliare,klasse ,vocaalverandering,,
1,drink,bere,,,drinken ,dronk,dronken,gedronken ,hebben,3A,i-o-o,,
,,,,,dwingen ,dwong,,gedwongen ,,3A,i-o-o,,
1,begin,cominciare,,be,ginnen ,begon,begonnen,begonnen ,zijn,3A,i-o-o,,
,"extract, exploit",estrarre,,ont,ginnen ,ontgon,ontgonnen,ontgonnen,hebben,3A,i-o-o,,
,,,,,glimmen ,glom,,geglommen ,,3A,i-o-o,,
1,climb,arrampicarsi,,,klimmen ,klom,klommen,geklommen ,hebben/zijn,3A,i-o-o,,
1,ascend,ascendere,,be,klimmen ,beklom,beklommen,beklommen ,hebben,3A,i-o-o,,
1,sound,suonare,,,klinken ,klonk,klonken,geklonken ,hebben,3A,i-o-o,,
,,,,,krimpen ,kromp,,gekrompen ,,3A,i-o-o,,
,,,,,rinnen[25] ,ron,,geronnen ,,3A,i-o-o,,
,be shocked,spaventarsi,,,schrikken ,schrok,schrokken,geschrokken ,hebben,3A,i-o-o,,
,,,,ver,slinden ,verslond,,verslonden ,,3A,i-o-o,,
,,,,,slinken ,slonk,,geslonken[5] ,,3A,i-o-o,,
,,,,,spinnen ,spon,,gesponnen ,,3A,i-o-o,,
1,"jump, spring","saltare, balzare",,,springen ,sprong,sprongen,gesprongen,hebben/zijn,3A,i-o-o,,
,,,,,stinken ,stonk,,gestonken ,,3A,i-o-o,,
1,find,trovare,,,vinden ,vond,vonden,gevonden,hebben,3A,i-o-o,,
1,find oneself,trovarsi,zich,be,vinden ,bevond,bevonden,bevonden,hebben,3A,i-o-o,,
,,,,,winden ,wond,,gewonden ,,3A,i-o-o,,
1,win,vincere,,,winnen ,won,wonnen,gewonnen,hebben,3A,i-o-o,,
,,,,,wringen ,wrong,,gewrongen ,,3A,i-o-o,,
1,sing,cantare,,,zingen ,zong,zongen,gezongen ,hebben,3A,i-o-o,,
,,,,,zinken ,zonk,,gezonken[5] ,,3A,i-o-o,,
,,,,,zinnen ,zon,,gezonnen ,,3A,i-o-o,,
,,,,ver,zwinden[3] ,verzwond,,verzwonden ,,3A,i-o-o,,
,,,,,bergen ,borg,,geborgen ,,3B,e-o-o,,
,,,,,bersten ,berstte,,,borst[3],,geborsten ,,3B
,,,,,delven[7] ,delfde,,,dolf,,gedolven ,,3B
1,count,valere,,,gelden ,gold,golden,gegolden ,hebben,3B,e-o-o,,
,,,,,kerven ,kerfde,,gekerfd ,korf,,gekorven ,,3B
,,,,,melken ,molk,,gemolken ,,3B,e-o-o,,
,,,,,schelden ,schold,,gescholden ,,3B,e-o-o,,
,,,,,schenden ,schond,,geschonden ,,3B,e-o-o,,
1,"give, pour","regalare, versare",,,schenken ,schonk,schonken,geschonken ,hebben,3B,e-o-o,,
,,,,,smelten ,smolt,,gesmolten ,,3B,e-o-o,,
,,,,,treffen ,trof,,getroffen ,,3B,e-o-o,,
1,pull,tirare,,,trekken ,trok,trokken,getrokken ,hebben,3B,e-o-o,,
1,"leave, depart",partire,,ver,trekken ,vertrok,vertrokken,vertrokken ,hebben,3B,e-o-o,,
1,fight,combattere,,,vechten ,vocht,vochten,gevochten ,hebben,3B,e-o-o,,
,,,,,vlechten ,vlocht,,gevlochten ,,3B,e-o-o,,
1,send,spedire,,,zenden ,zond,zonden,gezonden ,hebben,3B,e-o-o,,
,,,,,zwelgen ,zwelgde ,,,zwolg ,,gezwolgen ,,3B
,,,,ver,zwelgen ,verzwolg,,verzwolgen[5] ,,3B,e-o-o,,
,,,,,zwellen ,zwol,,gezwollen ,,3B,e-o-o,,
1,swim,nuotare,,,zwemmen ,zwom,zwommen,gezwommen ,hebben/zijn,3B,e-o-o,,
,,,,,barsten ,barstte,,,,,gebarsten ,,"3B, sterk "
,,,,be,derven ,bedierf,,bedorven,,3C,e-i:-o,,
1,help,aiutare,,,helpen ,hielp,hielpen,geholpen,hebben,3C,e-i:-o,,
1,die,morire,,,sterven ,stierf,stierven,gestorven,zijn,3C,e-i:-o,,
,,,,,werpen ,wierp,,geworpen ,,3C,e-i:-o,,
,,,,,werven ,wierf,,geworven ,,3C,e-i:-o,,
,,,,,zwerven ,zwierf ,,gezworven ,,3C,e-i:-o,,
1,break,rompere,,,breken ,brak,braken,gebroken,hebben,4A,e:-a/a:-o:,,
1,take,prendere,,,nemen ,nam,namen,genomen ,hebben,4A,e:-a/a:-o:,,
1,speak,parlare,,,spreken ,sprak,spraken,gesproken ,hebben,4A,e:-a/a:-o:,,
1,"discuss, reserve","discutere, riservare",,be,spreken ,besprak,bespraken,besproken,hebben,4A,e:-a/a:-o:,,
1,"sting, stab",pungere,,,steken ,stak,staken,gestoken ,hebben,4A,e:-a/a:-o:,,
